Unnamed: 0,Overall Rankings,Player name,"School - State, City",position,Height/weight,score,National rank,Star Rating,Position ranking,Committed School,High School Stats,University,Estimated NIL Budget
0,1,Jeremiah Smith,"Chaminade-Madonna (Opa Locka, FL)",WR,6-3 / 214,101,1,5,1,Ohio State,"88 receptions, 1,376 yards, 19 touchdowns",Ohio State University,10000000.0
1,2,Ellis Robinson IV,"IMG Academy (Bradenton, FL)",CB,6-1 / 185,100,2,5,1,Georgia,"45 tackles, 4 interceptions",University of Georgia,11000000.0
2,3,DJ Lagway,"Willis (Willis, TX)",QB,6-2 / 225,100,3,5,1,Florida,"3,000 passing yards, 35 touchdowns",University of Florida,8500000.0
3,4,LJ McCray,"Mainland (Daytona Beach, FL)",DL,6-4.5 / 279,99,4,5,1,Florida,"60 tackles, 12 sacks",University of Florida,8500000.0
4,5,Cam Coleman,"Central (Phenix City, AL)",WR,6-3 / 180,99,5,5,2,Auburn,"65 receptions, 1,200 yards, 15 touchdowns",Auburn University,6500000.0
5,6,Williams Nwaneri,"Lee's Summit North (Lees Summit, MO)",DL,6-6.5 / 260,99,6,5,2,Missouri,"55 tackles, 10 sacks",University of Missouri,5000000.0
6,7,Dylan Raiola,"Buford (Buford, GA)",QB,6-3 / 230,99,7,5,2,Nebraska,"2,800 passing yards, 30 touchdowns",Nebraska,5000000.0
7,8,Ryan Williams,"Saraland (Saraland, AL)",WR,6-0.5 / 165,99,8,5,3,Alabama,"70 receptions, 1,100 yards, 14 touchdowns",University of Alabama,12000000.0
8,9,Jordan Ross,"Vestavia Hills (Birmingham, AL)",Edge,6-4.5 / 233,99,9,5,1,Tenesse,"50 tackles, 9 sacks",,
9,10,Justin Williams,"Oak Ridge (Conroe, TX)",LB,6-2 / 205,99,10,5,1,Georgia,"100 tackles, 5 sacks",University of Georgia,11000000.0
10,11,Justin Scott,"St. Ignatius (Chicago, IL)",DL,6-4 / 310,98,11,5,3,Miami,"40 tackles, 8 sacks",University of Miami,8500000.0
11,12,Jaylen Mbakwe,"Clay-Chalkville (Pinson, AL)",CB,5-11 / 170,98,12,5,2,Alabama,"30 tackles, 3 interceptions",University of Alabama,12000000.0
12,13,Jordan Seaton,"IMG Academy (Bradenton, FL)",OT,6-5 / 287,98,13,5,1,Colorado,,University of Colorado,5500000.0
13,14,Sammy Brown,"Jefferson (Jefferson, GA)",LB,6-2 / 230,98,14,5,2,Clemson,"120 tackles, 10 sacks",Clemson University,7500000.0
14,15,KJ Bolden,"Buford (Buford, GA)",S,6-0.5 / 187,98,15,5,1,Georgia,"35 tackles, 4 interceptions",University of Georgia,11000000.0
15,16,Terry Bussey,"Timpson (Timpson, TX)",ATH,5-10.5 / 180,98,16,5,1,TAMU,"2,000 all-purpose yards, 25 touchdowns",,
16,17,David Stone,"IMG Academy (Oklahoma City, OK)",DL,6-4 / 275,98,17,5,4,Oklahoma,"45 tackles, 7 sacks",University of Oklahoma,7500000.0
17,18,Dominick McKinley,"Acadiana (Lafayette, LA)",DL,6-5.5 / 280,98,18,5,5,LSU,"50 tackles, 9 sacks",Louisiana State University,7000000.0
18,19,Dylan Stewart,"Friendship Collegiate Academy (Washington, DC)",Edge,6-5 / 250,98,19,5,2,South Carolina,"60 tackles, 11 sacks",University of South Carolina,6500000.0
19,20,Julian Sayin,"Carlsbad (Carlsbad, CA)",QB,6-1 / 195,98,20,5,3,Alabama,"2,500 passing yards, 28 touchdowns",University of Alabama,12000000.0
20,21,T.J. Moore,"Tampa Catholic (Tampa, FL)",WR,6-3 / 195,98,21,5,4,Clemson,"60 receptions, 1,000 yards, 12 touchdowns",Clemson University,7500000.0
21,22,Zabien Brown,"Mater Dei (Santa Ana, CA)",CB,6-0 / 182,98,22,5,3,Alabama,"40 tackles, 5 interceptions",University of Alabama,12000000.0
22,23,Chris Cole,"Salem (Salem, VA)",LB,6-3 / 210,98,23,5,3,Georgia,"90 tackles, 6 sacks",University of Georgia,11000000.0
23,24,Bryce Young,"Charlotte Christian (Charlotte, NC)",DL,6-5.5 / 244,98,24,5,6,Notre Dame,"55 tackles, 10 sacks",University of Notre Dame,6000000.0
24,25,Micah Hudson,"Lake Belton (Temple, TX)",WR,6-0 / 190,98,25,5,5,Texas Tech,"75 receptions, 1,300 yards, 16 touchdowns",Texas Tech University,5000000.0
25,26,Elijah Rushing,"Salpointe Catholic (Tucson, AZ)",Edge,6-6 / 251,98,26,5,3,Oregon,"55 tackles, 17.5 TFL, 13.5 sacks, 64 QB hurries",,
26,27,Gatlin Bair,"Burley (Burley, ID)",WR,6-1 / 194,98,27,5,6,Oregon,"73 receptions, 1,073 yards, 18 TDs; 35 tackles, 4.5 TFL, 2 INTs",,
27,28,Colin Simmons,"Duncanville (Duncanville, TX)",Edge,6-2 / 230,98,28,5,4,Texas,"52 tackles, 21 TFL, 10 sacks; career total 44.5 sacks",University of Texas,9500000.0
28,29,Luke Reynolds,"Cheshire Academy (Cheshire, CT)",TE,6-4 / 220,98,29,5,1,Penn State,"48 receptions, 754 yards, 8 TDs; 56 tackles, 3 INTs",Pennsylvania State University,6000000.0
29,30,Amaris Williams,"Clinton (Clinton, NC)",Edge,6-2 / 257,98,30,5,5,Auburn,"43 TFL, 18 sacks; 32 carries, 251 yards, 5 TDs",Auburn University,6500000.0
30,31,Zavier Mincey,"Mainland (Daytona Beach, FL)",CB,6-1.5 / 187,98,31,5,4,Alabama,"53 Tackles, 5 INTS, 19 PD",University of Alabama,12000000.0
31,32,Ryan Wingo,"St. Louis University (St. Louis, MO)",WR,6-1.5 / 210,98,32,5,7,Texas,"129 receptions, 2,160 yards, 31 TDs",University of Texas,9500000.0
32,33,Eddrick Houston,"Buford (Buford, GA)",DL,6-3 / 269,97,33,4,7,Ohio,8 INTs,,
33,34,Marquise Lightfoot,"Kenwood Academy (Chicago, IL)",Edge,6-4 / 212,97,34,4,6,Miami,"122 tackles, 9 sacks, 1 forced fumble",University of Miami,8500000.0
34,35,Luke Kromenhoek,"Benedictine Military School (Savannah, GA)",QB,6-4 / 185,97,35,4,4,Florida State,"2,578 passing yards, 24 TDs; 558 rushing yards, 7 TDs",Florida State University,7000000.0
35,36,Aydin Breland,"Mater Dei (Santa Ana, CA)",DL,6-5 / 290,97,36,4,8,Oregon,"49 tackles, 6 sacks; 5.5 TFL",,
36,37,Josiah Thompson,"Dillon (Dillon, SC)",OT,6-6 / 264,97,37,4,2,South Carolina,,University of South Carolina,6500000.0
37,38,Perry Thompson,"Foley  (Foley, AL)",WR,6-3 / 205,97,38,4,8,Auburn,"87 receptions, 1,059 yards, 9 TDs; 8 tackles, 2 INTs",Auburn University,6500000.0
38,39,Armondo Blount,"Miami Central (Miami, FL)",DL,6-3.5 / 250,97,39,4,9,Miami,"67 tackles, 14 sacks, 4 forced fumbles",University of Miami,8500000.0
39,40,Mike Matthews,"Parkview (Lilburn, GA)",WR,6-1 / 180,97,40,4,9,Tennessee,"39 receptions, 751 yards, 9 TDs; 48 tackles",University of Tennessee,7000000.0
40,41,Walker White,"Little Rock Christian Academy (Little Rock, AR)",QB,6-3 / 222,97,41,4,5,Auburn,"6,740 total yards, 1,842 rush yards, 183 rec yards, 31 TDs",Auburn University,6500000.0
41,42,Kyngstonn Viliamu-Asa,"St. John Bosco (Bellflower, CA)",LB,6-2 / 233,97,42,4,4,Notre Dame,"253 tackles, 8.5 sacks, 2 INTs, 1 forced fumble",University of Notre Dame,6000000.0
42,43,Courtney Crutchfield,"Pine Bluff (Pine Bluff, AR)",WR,6-0 / 179,97,43,4,10,Missouri,"66 catches, 1,686 yards, 25 TDs, 25.5 avg, 80.3 Y/G, 26 total touchdowns",University of Missouri,5000000.0
43,44,Brandon Baker,"Mater Dei (Santa Ana, CA)",OT,6-5 / 285,97,44,4,3,Texas,"21 GP, 0.8 P/G, 0.5 Ast/G, 0.4 Reb/G, 0.3 Stls/G",University of Texas,9500000.0
44,45,CJ Carr,"Saline (Saline, MI)",QB,6-2.5 / 195,97,45,4,6,Notre Dame,"275 passing yards, 29/42 completions, 2 INTs, 275.0 Y/G",University of Notre Dame,6000000.0
45,46,Jason Zandamela,"Clearwater Academy International (Clearwater, FL)",IOL,6-3 / 285,97,46,4,1,USC,"3 total tackles (3 solo), 1.0 Tck/G",University of Southern California,7000000.0
46,47,Trey'Dez Green,"Zachary (Zachary, LA)",TE,6-6.5 / 225,97,47,4,2,LSU,"46 catches, 857 yards, 10 TDs, 18.6 avg, 77.9 Y/G",Louisiana State University,7000000.0
47,48,Taylor Tatum,"Longview (Longview, TX)",RB,5-10.5 / 205,96,48,4,1,OU,"3,307 rushing yards on 397 carries, 8.3 avg, 127.2 Y/G, 53 rushing TDs, 57 total TDs",,
48,49,Carter Nelson,"Ainsworth (Ainsworth, NE)",TE,6-4 / 216,96,49,4,3,Nebraska,"92 GP, 13.4 P/G, 4.6 Ast/G, 8.2 Reb/G, 1.7 Stls/G, 3.4 Blk/G",Nebraska,5000000.0
49,50,Kevin Heywood,"Pope John Paul II (Royersford, PA)",OT,6-6.5 / 299,96,50,4,4,Wisconsin,"26 total tackles (18 solo), 2.0 sacks, 3.3 Tck/G, 0.3 Sck/G over 8 games",University of Wisconsin,5000000.0
50,51,Aaron Scott Jr.,"Springfield (Springfield, OH)",CB,6-2 / 190,96,51,5,5,Ohio State,"23 tackles, 5 INTs, 7 PBUs; 9 total TD",Ohio State University,10000000.0
51,52,Nasir Johnson,"Dublin (Dublin, GA)",DL,6-4.5 / 300,96,52,4,10,Georgia,"22 tackles (12 solo), 1 sack over 8 games",University of Georgia,11000000.0
52,53,Cooper Cousins,"McDowell (Erie, PA)",IOL,6-6 / 323,96,53,4,2,Penn State,"8 total tackles, 13 G, 37 pancake blocks",Pennsylvania State University,6000000.0
53,54,Dashawn Spears,"Denham Springs (Denham Springs, LA)",S,6-2 / 200,96,54,4,2,LSU,"51 tackles, 9 INTs, 9 PBUs, 3 defensive TDs",Louisiana State University,7000000.0
54,55,Ify Obidegwu,"St. Frances Academy (Baltimore, MD)",CB,6-1.5 / 190,96,55,4,6,Oregon,"61 tackles, 14 PBUs, 3 INTs",,
55,56,Joseph Jonah-Ajonye,"Oak Ridge (Conroe, TX)",DL,6-4 / 275,96,56,4,11,Georgia,"9 tackles (6 solo), 2 sacks over 2 games",University of Georgia,11000000.0
56,57,Bryant Wesco,"Midlothian (Midlothian, TX)",WR,6-2 / 170,96,57,4,11,Clemson,"36 receptions, 619 yards, 13 TDs",Clemson University,7500000.0
57,58,Kameryn Fountain,"Booker T. Washington (Atlanta, GA)",DL,6-6 / 241,96,58,4,12,USC,"19 tackles (10 solo), 2 TFLs, 1 QB hurry in 8 games",University of Southern California,7000000.0
58,59,Mylan Graham,"New Haven (New Haven, IN)",WR,6-1 / 170,96,59,5,12,Ohio State,"48 receptions, 1,149 yards, 13 TDs",Ohio State University,10000000.0
59,60,Kobe Black,"Connally (Waco, TX)",CB,6-0 / 190,96,60,5,7,Texas,"775 rushing yards, 586 receiving yards, 7 total TDs",University of Texas,9500000.0
60,61,Air Noland,"Langston Hughes (Fairburn, GA)",QB,6-2 / 195,96,61,4,7,Ohio State,"2,140 passing yards, 22 TDs, 9 INTs; over 10,000 career passing yards",Ohio State University,10000000.0
61,62,Xavier Filsaime,"McKinney (McKinney, TX)",S,6-1 / 180,96,62,5,3,Texas,"64 tackles, 6 PBUs, 2 INTs",University of Texas,9500000.0
62,63,Zaquan Patterson,"Chaminade-Madonna (Hollywood, FL)",S,6-0 / 185,96,63,4,4,Miami,"47 tackles (24 solo), 1 TD",University of Miami,8500000.0
63,64,Kylan Billiot,"Terrebonne (Houma, LA)",WR,6-2 / 188,96,64,4,13,LSU,622 receiving yards,Louisiana State University,7000000.0
64,65,Charlie Collins,"Wilbur D. Mills (Little Rock, AR)",DL,6-4 / 265,96,65,4,13,Arkansas,"239 tackles (113 solo), 77 TFLs, 24 sacks",University of Arkansas,6000000.0
65,66,Daniel Calhoun,"Walton (Marietta, GA)",OT,6-6.5 / 365,96,66,4,5,Georgia,16 total tackles,University of Georgia,11000000.0
66,67,DJ Warner,"Desert Edge (Goodyear, AZ)",Edge,6-3 / 217,96,67,3,7,Kansas,"156 total tackles (73 solo), 32 sacks, 4.1 Tck/G, 5 INTs, 9 forced fumbles",,
67,68,Andrew Sprague,"Rockhurst (Kansas City, MO)",OT,6-7 / 286,96,68,4,6,Michigan,"4 total tackles (3 solo), 1 sack, 1 fumble recovery",University of Michigan,8000000.0
68,69,Demarcus Riddick,"Chilton County (Clanton, AL)",LB,6-2 / 216,96,69,4,5,Auburn,"201 total tackles (110 solo), 10 sacks, 10.1 Tck/G, 4 INTs, 2 forced fumbles",Auburn University,6500000.0
69,70,Joshisa Trader,"Chaminade-Madonna (Hollywood, FL)",WR,6-1 / 175,96,70,5,14,Miami,"50 rec, 63 receiving yards, 9 TDs",University of Miami,8500000.0
70,71,Nate Frazier,"Mater Dei (Santa Ana, CA)",RB,5-9.5 / 206,96,71,4,2,Georgia,"693 rush yds, 62 receiving yards, 9 TDs",University of Georgia,11000000.0
71,72,Koi Perich,"Lincoln Secondary (Esko, MN)",S,6-0.5 / 199,96,72,4,5,Minnesota ,"3 INTs, 1 FF, 1 FR",,
72,73,Eugene Brooks,"Sierra Canyon (Chatsworth, CA)",IOL,6-4 / 320,96,73,3,3,OU,"5 tackles, 1 sack",,
73,74,Demello Jones,"Swainsboro (Swainsboro, GA)",S,6-1 / 176,96,74,4,6,Georgia,963 receiving yards,University of Georgia,11000000.0
74,75,Jordan Thomas,"Don Bosco Prep (Ramsey, NJ)",DL,6-4.5 / 322,96,75,4,14,Georgia,6 tackles,University of Georgia,11000000.0
